Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
14297,Rasi,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.3357297222222222,136.6222602777778"
14216,Auki,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.2253183333333335,136.31686194444444"
14278,Furi Nu,"",PAPUA,Kab. BIAK NUMFOR,"",,"-0.9947222222222222,134.79083333333332"
14359,Aiborambondi,"",PAPUA,Kab. SUPIORI,"",,"-0.8658333333333333,135.43800833333333"
14342,Wakde Besar,"",PAPUA,Kab. SARMI,"",,"-1.939208888888889,139.01327"
14372,Ayawi,"",PAPUA,Kab. SUPIORI,"",,"-0.2087663888888889,135.00972083333335"
14039,Mowirin,"",PAPUA,Kab. NABIRE,"",,"-3.082998888888889,135.5825238888889"
14541,Mutdrau,"",PAPUA,KOTA JAYAPURA ,"",,"-2.546111111111111,140.72555555555556"
14258,Kasei,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.1192047222222223,135.81597027777778"
14113,Karuati,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.8841666666666665,135.8227777777778"
14285,Nusom Kasun,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.0880555555555556,135.81055555555557"
14388,Biri,"",PAPUA,Kab. SUPIORI,"",,"-0.653888888888889,135.4477777777778"
14463,Mangkubuy,"",PAPUA,Kab. SUPIORI,"",,"-0.7470080555555555,135.47236361111112"
14536,Hamadi,"",PAPUA,KOTA JAYAPURA ,"",,"-2.5691666666666664,140.7161111111111"
14349,Nau,"",PAPUA,Kab. WAROPEN,"",,"-2.223055555555556,136.25944444444445"
14449,Kopbarai,"",PAPUA,Kab. SUPIORI,"",,"-0.6488888888888888,135.42333333333332"
14260,Kodon Oser Mios,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.2394444444444446,136.2938888888889"
14467,Mansari,"",PAPUA,Kab. SUPIORI,"",,"-0.7549352777777778,135.47580277777777"
14476,Mawoni,"",PAPUA,Kab. SUPIORI,"",,"-0.8251444444444445,135.49536666666665"
14462,Manggabua Kasun ,"",PAPUA,Kab. SUPIORI,"",,"-0.7811111111111112,135.45194444444442"
14199,Abumbaryabo,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.0250394444444444,134.95094777777777"
14279,Kori Nu,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.2660205555555555,136.67000666666667"
14224,Bedewen Suru,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.2174833333333335,136.33183277777778"
14204,Abumdafi Kasun,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.0115447222222222,134.94944444444445"
14311,Sunggindi,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.2235158333333334,136.34241277777778"
14154,Refaurarif,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.8975,136.32850083333332"
14100,Horendaupi,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.4797222222222224,135.01416666666665"
14282,Nusamba,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.0091666666666668,134.79382944444444"
14482,Momi,"",PAPUA,Kab. SUPIORI,"",,"-0.8684966666666667,135.53579888888888"
14316,Warek Mios,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.280918888888889,136.31941805555556"
14517,Sowek,"",PAPUA,Kab. SUPIORI,"",,"-0.8086111111111112,135.5102777777778"
14085,Borontoroif,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.911111111111111,136.38472222222222"
14428,Insubendi Beba,"",PAPUA,Kab. SUPIORI,"",,"-0.7781472222222223,135.44661333333335"
14423,Insefndi,"",PAPUA,Kab. SUPIORI,"",,"-0.7938888888888889,135.5338888888889"
14344,Yamna Besar,"",PAPUA,Kab. SARMI,"",,"-2.008888888888889,139.24916666666667"
14074,Arowesi,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.7791666666666666,135.77333333333334"
14264,Kunrofki,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.008888888888889,134.9727777777778"
14101,Inkakeri,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.4716666666666667,135.0088888888889"
14266,Manbagas,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.1477777777777778,135.9813888888889"
14497,Pisan Mios,"",PAPUA,Kab. SUPIORI,"",,"-0.7088888888888888,135.71027777777778"
14507,Sariasi Beba,"",PAPUA,Kab. SUPIORI,"",,"-0.650361388888889,135.41468416666666"
14340,Sarmi,"",PAPUA,Kab. SARMI,"",,"-1.8322222222222222,138.74527777777777"
14167,Tekopi,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.84,136.71444444444444"
14000,Pane Barat,"",PAPUA,Kab. JAYAPURA,"",,"-2.3508333333333336,140.15694444444446"
14066,Ansus,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.7655555555555555,135.77916666666667"
14090,Duwandiru,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.511388888888889,135.32361111111112"
14001,Pane Tengah,"",PAPUA,Kab. JAYAPURA,"",,"-2.354722222222222,140.15833333333333"
13996,Kwa Kepou,"",PAPUA,Kab. JAYAPURA,"",,"-2.433888888888889,140.35055555555556"
14079,Baiwawa,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.7647452777777777,135.83074083333332"
14343,Wakde Kecil,"",PAPUA,Kab. SARMI,"",,"-1.9488244444444445,139.00784222222222"
14436,Kambraoindi Mios,"",PAPUA,Kab. SUPIORI,"",,"-0.6641666666666667,135.59361111111113"
14422,Insaryonfundi,"",PAPUA,Kab. SUPIORI,"",,"-0.6663888888888889,135.60055555555556"
13995,Ku,"",PAPUA,Kab. JAYAPURA,"",,"-2.4361111111111113,140.35194444444443"
14226,Besifer Oser,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.2480555555555557,136.3175"
14203,Abumdafi Beba,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.0193775,134.95015138888888"
14486,Munsaki Fadu,"",PAPUA,Kab. SUPIORI,"",,"-0.8161111111111111,135.47666666666666"
14442,Karui,"",PAPUA,Kab. SUPIORI,"",,"0.9297172222222222,134.33917694444446"
14432,Inswebndi,"",PAPUA,Kab. SUPIORI,"",,"-0.8256444444444444,135.49183333333332"
14206,Abuminasi,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.0430555555555556,134.94361111111112"
14291,Puduar,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.1458333333333333,135.98222222222222"
14466,Manisrui,"",PAPUA,Kab. SUPIORI,"",,"-0.7764563888888889,135.47637444444445"
14145,Oraraoni,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.696951111111111,135.60974194444444"
14185,Wonawai Nu,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.4761111111111112,135.2036111111111"
13987,Ajava,"",PAPUA,Kab. JAYAPURA,"",,"-2.4383333333333335,140.6063888888889"
