Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
8490,Wawatu,"",SULAWESI TENGGARA,Kab. KONAWE SELATAN,"","","-4.102222222222222,122.66888888888889"
8618,Seloselo,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.5777777777777775,123.88333333333334"
8557,Lakantore Kiikii,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.424166666666667,123.5975"
8629,Teveu,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.544444444444444,123.87305555555555"
8316,Liambawo Besar,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.916,122.76091666666666"
8500,Bembe,"",SULAWESI TENGGARA,Kab. BOMBANA,"","","-4.885313055555555,122.06240305555555"
8535,Gililoho,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.548611111111111,123.8736111111111"
8525,Anano Arumba Tolu,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.299166666666666,124.29722222222222"
8432,Jatu Montoru,"",SULAWESI TENGGARA,Kab. BUTON,"","","-5.217051388888889,122.8111211111111"
8299,Laiworu Tengah,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.967222222222222,122.76388888888889"
8426,Botiwaunda,"",SULAWESI TENGGARA,Kab. BUTON,"","","-5.339444444444444,122.49888888888889"
8540,Indah Nua,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.280833333333334,123.51972222222223"
8693,Jompi Utara,"",SULAWESI TENGGARA,Kab. KONAWE UTARA,"","","-3.466388888888889,122.39805555555556"
8308,Lapandulangi,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.927300000000001,122.75676666666666"
8360,Nanasi Selatan,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.936,122.76115"
8371,Rangku,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.768888888888889,122.26444444444445"
8709,Meong,"",SULAWESI TENGGARA,Kab. KONAWE UTARA,"","","-3.5675,122.27888888888889"
8238,Balu,"",SULAWESI TENGGARA,Kab. MUNA,"",4° 44' 4.784,""
8217,Buaya,"",SULAWESI TENGGARA,Kab. KOLAKA,"","","-4.171666666666667,121.48583333333333"
8528,Balaa Tooge Nua,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.249722222222222,123.59138888888889"
8604,Runduma,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.336497777777778,124.33865027777777"
8541,Indolu,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.585,123.82805555555555"
8226,Maniang,"",SULAWESI TENGGARA,Kab. KOLAKA,"","","-4.202777777777778,121.47944444444444"
8667,Niuniule,"",SULAWESI TENGGARA,Kab. KOLAKA UTARA,"","","-2.9580555555555557,121.06666666666666"
8745,Bungkutoko,"",SULAWESI TENGGARA,KOTA KENDARI,"","","-3.9825,122.61027777777777"
8379,Rukaru Kecil,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.916666666666667,122.7611111111111"
8324,Limamadawa  Tengah,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.9654300000000005,122.72932"
8560,Laku,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.5874999999999995,123.83388888888888"
8529,Banawa,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.426666666666667,123.60444444444444"
8232,Saponda Darat,"",SULAWESI TENGGARA,Kab. KONAWE,"","","-3.979444444444445,122.76222222222222"
8383,Sampalu Utara,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.9272800000000005,122.75661"
8649,Watumasimbasori,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.5653741666666665,123.83009638888889"
8263,Gala,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.870730277777779,122.26688861111111"
8283,Kayuangin ,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.647492222222222,122.38320666666667"
8597,Pugekabali Bahili,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.572777777777778,123.88083333333333"
8430,Bungi Salata,"",SULAWESI TENGGARA,Kab. BUTON,"","","-5.553333333333333,122.47722222222222"
8271,Ghoghombio Utara,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.95972,122.73555555555555"
8580,Manggasa Nua,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.386666666666667,123.60527777777777"
8513,Masudu,"",SULAWESI TENGGARA,Kab. BOMBANA,"","","-4.910555555555556,121.9475"
8400,Tinondo,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.9028,122.75785"
