Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
7602,Kiapu Besar,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.47904305555555554,121.69667694444445"
6836,Luang Luar,"",SULAWESI TENGAH,Kab. TOLI-TOLI,"","","0.8097222222222222,120.59416666666667"
7769,Saido,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.2113888888888889,122.20972222222223"
7874,Ungka,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4311111111111111,121.78194444444445"
7853,Topu,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4727777777777778,121.68916666666667"
7512,Dua Satu,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.8838888888888888,121.66611111111112"
7788,Solisi,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4255172222222222,122.0693675"
7657,Mangkudu,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.42500000000000004,121.75833333333334"
7566,Kalomba,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4252777777777778,122.10444444444444"
7463,Bolilanga,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.3119444444444444,121.96111111111111"
6927,Hapahapa Besar,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-1.9294444444444443,121.47805555555556"
6861,Tiga Luar,"",SULAWESI TENGAH,Kab. TOLI-TOLI,"","","1.0708333333333333,120.61532888888888"
7643,Luok Dua,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4369252777777778,121.78596666666667"
7773,Satu,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.8680555555555556,121.66555555555556"
7285,Salinglabian Togong,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.4769444444444446,123.25611111111111"
7866,Tupai,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.5408333333333333,121.64916666666667"
7568,Kapal,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4430411111111111,122.07198749999999"
7093,Batumaling,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.6216666666666666,123.23055555555555"
7525,Gandeng,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.47580833333333333,121.68997888888889"
7736,Patoyan Empat,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4436111111111111,121.7611111111111"
7811,Tandaka,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4361111111111111,122.11138888888888"
7156,Kenau,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.746388888888889,123.53166666666667"
7675,Mmbo Leleng,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.43472222222222223,122.08026666666666"
6981,Mato,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-3.270277777777778,122.39666666666668"
7478,Buloko Satu,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.3133333333333333,122.23388888888888"
7684,MmboTeppa,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4277777777777778,122.08027777777778"
6983,Mbosembah Tukoh,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-3.118507777777778,122.58932166666666"
7369,Totuku Pauno,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-2.1058333333333334,123.32138888888889"
7177,Lalongo,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.5808333333333333,122.92027777777778"
